artist,track_name,lyrics,Genre,letras_limpas,Silabas,Frequencia,Pontuacao Gramatical,diversidade lexical,diversidade tematica,Tamanho,Versos,Polaridade,Complexidade
charles-gounod,0 - 0 - ave-maria," <p>Ave Maria<br/>Gratia plena<br/>Dominus tecum<br/>Benedicta tu<br/>In mulieribus<br/>Et benedictus<br/>Frutus ventris<br/>Tui, Jesus</p><p>Sancta Maria<br/>Sancta Maria<br/>Maria<br/>Ora pro nobis<br/>Nobis peccatoribus<br/>Nunc et in hora<br/>In hora mortis<br/>Nostrae amem<br/>Amem</p> ",classico,"ave maria
gratia plena
dominus tecum
benedicta tu
in mulieribus
et benedictus
frutus ventris
tui, jesus
 sancta maria
sancta maria
maria
ora pro nobis
nobis peccatoribus
nunc et in hora
in hora mortis
nostrae amem
amem",1.0,0.7222222222222222,0.09999999999999999,4.283392,6.229597009229573,36,1.0625,0.0,1
ludwig-van-beethoven,1 - 1 - ode-to-joy," <p>O Freunde, nicht diese Töne!<br/>Sondern lasst uns angenehmere anstimmen<br/>und freudenvollere!</p><p>Freude, schöner Götterfunken<br/>Tochter aus Elysium<br/>Wir betreten feuertrunken<br/>Himmlische, dein Heiligtum!<br/>Deine Zauber binden wieder<br/>Was die Mode streng geteilt<br/>Alle Menschen werden Brüder<br/>Wo dein sanfter Flügel weilt</p><p>Wem der grosse Wurf gelungen<br/>Eines Freundes Freund zu sein<br/>Wer ein holdes Weib errungen<br/>Mische seinen Jubel ein!<br/>Ja, wer auch nur eine Seele<br/>Sein nennt auf dem Erdenrund!<br/>Und wer's nie gekonnt, der stehle<br/>Weinend sich aus diesem Bund</p><p>Freude trinken alle Wesen<br/>An den Brüsten der Natur<br/>Alle Guten, alle Bösen<br/>Folgen ihrer Rosenspur<br/>Küsse gab sie uns und Reben<br/>Einen Freund, geprüft im Tod<br/>Wollust ward dem Wurm gegeben<br/>Und der Cherub steht vor Gott!</p><p>Froh, wie seine Sonnen fliegen<br/>Durch des Himmels prächt'gen Plan<br/>Laufet, Brüder, eure Bahn<br/>Freudig, wie ein Held zum Siegen</p><p>Freude, schöner Götterfunken<br/>Tochter aus Elysium<br/>Wir betreten feuertrunken<br/>Himmlische, dein Heiligtum!<br/>Seid umschlungen, Millionen<br/>Dieser Kuss der ganzen Welt!<br/>Brüder! Über'm Sternenzelt<br/>Muss ein lieber Vater wohnen<br/>Ihr stürzt nieder, Millionen?<br/>Ahnest du den Schöpfer, Welt?<br/>Such ihn über'm Sternenzelt!<br/>Über Sternen muss er wohnen</p> ",classico,"o freunde, nicht diese töne!
sondern lasst uns angenehmere anstimmen
und freudenvollere!
 freude, schöner götterfunken
tochter aus elysium
wir betreten feuertrunken
himmlische, dein heiligtum!
deine zauber binden wieder
was die mode streng geteilt
alle menschen werden brüder
wo dein sanfter flügel weilt
 wem der grosse wurf gelungen
eines freundes freund zu sein
wer ein holdes weib errungen
mische seinen jubel ein!
ja, wer auch nur eine seele
sein nennt auf dem erdenrund!
und wer's nie gekonnt, der stehle
weinend sich aus diesem bund
 freude trinken alle wesen
an den brüsten der natur
alle guten, alle bösen
folgen ihrer rosenspur
küsse gab sie uns und reben
einen freund, geprüft im tod
wollust ward dem wurm gegeben
und der cherub steht vor gott!
 froh, wie seine sonnen fliegen
durch des himmels prächt'gen plan
laufet, brüder, eure bahn
freudig, wie ein held zum siegen
 freude, schöner götterfunken
tochter aus elysium
wir betreten feuertrunken
himmlische, dein heiligtum!
seid umschlungen, millionen
dieser kuss der ganzen welt!
brüder! über'm sternenzelt
muss ein lieber vater wohnen
ihr stürzt nieder, millionen?
ahnest du den schöpfer, welt?
such ihn über'm sternenzelt!
über sternen muss er wohnen",1.0,0.8128342245989305,0.7000000000000004,3.9905815,13.433629282449537,187,1.1025641025641026,0.0,1
thomas-arne,2 - 2 - rule-britannia," <p>When Britain first, at Heaven's command<br/>Arose from out the azure main<br/>Arose from out the azure main<br/>This was the charter<br/>The charter of the land<br/>And guardian angels sang this strain<br/>Rule, Britannia! Britannia rule the waves<br/>Britons never will be slaves</p><p>The nations, not so blest as thee<br/>Must, in their turns, to tyrants fall<br/>Must, in their turns, to tyrants fall<br/>While thou shalt flourish great and free<br/>The dread and envy of them all<br/>Rule, Britannia! Britannia rule the waves<br/>Britons never will be slaves</p><p>Still more majestic shalt thou rise<br/>More dreadful, from each foreign stroke<br/>More dreadful, from each foreign stroke<br/>As the loud blast that tears the skies<br/>Serves but to root thy native oak<br/>Rule, Britannia! Britannia rule the waves<br/>Britons never will be slaves</p><p>Thee haughty tyrants ne'er shall tame<br/>All their attempts to bend thee down<br/>All their attempts to bend thee down<br/>Will but arouse thy generous flame<br/>But work their woe, and thy renown<br/>Rule, Britannia! Britannia rule the waves<br/>Britons never will be slaves</p><p>The Muses, still with freedom found<br/>Shall to thy happy coast repair<br/>Shall to thy happy coast repair<br/>Blest Isle! With matchless beauty crown'd<br/>And manly hearts to guard the fair<br/>Rule, Britannia! Britannia rule the waves<br/>Britons never will be slaves</p> ",classico,"when britain first, at heaven's command
arose from out the azure main
arose from out the azure main
this was the charter
the charter of the land
and guardian angels sang this strain
rule, britannia! britannia rule the waves
britons never will be slaves
 the nations, not so blest as thee
must, in their turns, to tyrants fall
must, in their turns, to tyrants fall
while thou shalt flourish great and free
the dread and envy of them all
rule, britannia! britannia rule the waves
britons never will be slaves
 still more majestic shalt thou rise
more dreadful, from each foreign stroke
more dreadful, from each foreign stroke
as the loud blast that tears the skies
serves but to root thy native oak
rule, britannia! britannia rule the waves
britons never will be slaves
 thee haughty tyrants ne'er shall tame
all their attempts to bend thee down
all their attempts to bend thee down
will but arouse thy generous flame
but work their woe, and thy renown
rule, britannia! britannia rule the waves
britons never will be slaves
 the muses, still with freedom found
shall to thy happy coast repair
shall to thy happy coast repair
blest isle! with matchless beauty crown'd
and manly hearts to guard the fair
rule, britannia! britannia rule the waves
britons never will be slaves",0.0,0.4636363636363636,0.8400000000000005,3.6284485,6.124801167308124,220,1.565217391304348,0.1793859649122807,1
traditional,3 - 3 - greensleeves," <p>As down the glen one Easter morn to a city fair rode I<br/>There Armed lines of marching men in squadrons passed me by<br/>No fife did hum nor battle drum did sound it's dread tatoo<br/>But the Angelus bell o'er the Liffey swell rang out through the foggy dew</p><p>Right proudly high over Dublin Town they hung out the flag of war<br/>'Twas better to die 'neath an Irish sky than at Sulva or Sud El Bar<br/>And from the plains of Royal Meath strong men came hurrying through<br/>While Britannia's Huns, with their long range guns sailed in through the foggy dew</p><p>'Twas Britannia bade our Wild Geese go that small nations might be free<br/>But their lonely graves are by Sulva's waves or the shore of the Great North Sea<br/>Oh, had they died by Pearse's side or fought with Cathal Brugha<br/>Their names we will keep where the fenians sleep 'neath the shroud of the foggy dew</p><p>But the bravest fell, and the requiem bell rang mournfully and clear<br/>For those who died that Eastertide in the springing of the year<br/>And the world did gaze, in deep amaze, at those fearless men, but few<br/>Who bore the fight that freedom's light might shine through the foggy dew</p><p>Ah, back through the glen I rode again and my heart with grief was sore<br/>For I parted then with valiant men whom I never shall see more<br/>But to and fro in my dreams I go and I'd kneel and pray for you,<br/>For slavery fled, O glorious dead, When you fell in the foggy dew.</p> ",classico,"as down the glen one easter morn to a city fair rode i
there armed lines of marching men in squadrons passed me by
no fife did hum nor battle drum did sound it's dread tatoo
but the angelus bell o'er the liffey swell rang out through the foggy dew
 right proudly high over dublin town they hung out the flag of war
'twas better to die 'neath an irish sky than at sulva or sud el bar
and from the plains of royal meath strong men came hurrying through
while britannia's huns, with their long range guns sailed in through the foggy dew
 'twas britannia bade our wild geese go that small nations might be free
but their lonely graves are by sulva's waves or the shore of the great north sea
oh, had they died by pearse's side or fought with cathal brugha
their names we will keep where the fenians sleep 'neath the shroud of the foggy dew
 but the bravest fell, and the requiem bell rang mournfully and clear
for those who died that eastertide in the springing of the year
and the world did gaze, in deep amaze, at those fearless men, but few
who bore the fight that freedom's light might shine through the foggy dew
 ah, back through the glen i rode again and my heart with grief was sore
for i parted then with valiant men whom i never shall see more
but to and fro in my dreams i go and i'd kneel and pray for you,
for slavery fled, o glorious dead, when you fell in the foggy dew.",0.0,0.6617100371747212,1.2500000000000009,3.1739726,10.750919916885044,269,1.0,0.13743145743145743,1
john-newton,4 - 4 - amazing-grace," <p>Amazing grace, how sweet the sound<br/>That saved a wretch like me<br/>I once was lost, but now am found<br/>Was blind, but now I see</p><p>'Twas grace that taught my heart to fear<br/>And grace my fears relieved<br/>How precious did that grace appear<br/>The hour I first believed</p><p>When we've been there ten thousand years<br/>Bright shining as the Sun<br/>We've no less days to sing God's praise<br/>Than when we've first begun</p> ",classico,"amazing grace, how sweet the sound
that saved a wretch like me
i once was lost, but now am found
was blind, but now i see
 'twas grace that taught my heart to fear
and grace my fears relieved
how precious did that grace appear
the hour i first believed
 when we've been there ten thousand years
bright shining as the sun
we've no less days to sing god's praise
than when we've first begun",0.0,0.76,0.4300000000000002,4.028016,8.211565697828572,75,1.0,0.26333333333333336,1
johann-sebastian-bach,5 - 5 - my-heart-ever-faithful," <p>Erbarme dich, mein Gott,<br/>um meiner Zähren willen!<br/>Schaue hier, Herz und Auge<br/>weint vor dir bitterlich.<br/>Erbarme dich, mein Gott.</p> ",classico,"erbarme dich, mein gott,
um meiner zähren willen!
schaue hier, herz und auge
weint vor dir bitterlich.
erbarme dich, mein gott.",1.0,0.8571428571428571,0.03,4.7201896,6.188288932313158,21,1.0,0.0,0
franz-schubert,6 - 6 - serenade," <p>Was vermeid' ich denn die Wege, <br/>Wo die ander'n Wand'rer geh'n, <br/>Suche mir versteckte Stege, <br/>Durch verschneite Felsenhöh'n? </p><p>Habe ja doch nichts begangen, <br/>Daß ich Menschen sollte scheu'n, - <br/>Welch ein törichtes Verlangen <br/>Treibt mich in die Wüstenei'n? </p><p>Weiser stehen auf den Straßen, <br/>Weisen auf die Städte zu. <br/>Und ich wandre sonder Maßen <br/>Ohne Ruh' und suche Ruh'. </p><p>Einen Weiser seh' ich stehen <br/>Unverrückt vor meinem Blick; <br/>Eine Straße muß ich gehen, <br/>Die noch keiner ging zurück.</p> ",classico,"was vermeid' ich denn die wege, 
wo die ander'n wand'rer geh'n, 
suche mir versteckte stege, 
durch verschneite felsenhöh'n? 
 habe ja doch nichts begangen, 
daß ich menschen sollte scheu'n, - 
welch ein törichtes verlangen 
treibt mich in die wüstenei'n? 
 weiser stehen auf den straßen, 
weisen auf die städte zu. 
und ich wandre sonder maßen 
ohne ruh' und suche ruh'. 
 einen weiser seh' ich stehen 
unverrückt vor meinem blick; 
eine straße muß ich gehen, 
die noch keiner ging zurück.",0.0,0.8311688311688312,0.23000000000000007,4.3331923,10.721646031917661,77,1.0,0.0,1
howard-goodall,7 - 7 - the-lord-is-my-shepherd, <p>Ecce homo qui est faba<br/>Ecce homo qui est faba</p><p>Vale homo qui est faba<br/>Qui est faba<br/>Qui est faba<br/>Vale homo qui est faba<br/>Vale homo qui est faba<br/>Qui est faba</p> ,classico,"ecce homo qui est faba
ecce homo qui est faba
 vale homo qui est faba
qui est faba
qui est faba
vale homo qui est faba
vale homo qui est faba
qui est faba",0.0,0.17647058823529413,0.10999999999999999,5.752506,3.143456531665731,34,2.6666666666666665,0.0,0
henry-purcell,8 - 8 - when-i-am-laid-in-earth," <p>When I am laid, am laid in earth, may my wrongs create<br/>No trouble, no trouble in, in thy breast<br/>When I am laid, am laid in earth, may my wrongs create<br/>No trouble, no trouble in, in thy breast</p><p>Remember me, remember me, but ah!<br/>Forget my fate<br/>Remember me, but ah!<br/>Forget my fate</p><p>Remember me, remember me, but ah!<br/>Forget my fate<br/>Remember me, but ah!<br/>Forget my fate</p> ",classico,"when i am laid, am laid in earth, may my wrongs create
no trouble, no trouble in, in thy breast
when i am laid, am laid in earth, may my wrongs create
no trouble, no trouble in, in thy breast
 remember me, remember me, but ah!
forget my fate
remember me, but ah!
forget my fate
 remember me, remember me, but ah!
forget my fate
remember me, but ah!
forget my fate",0.0,0.3194444444444444,0.3200000000000001,4.422632,3.580912442115335,72,2.4,0.13603515625,1
henry-purcell,9 - 9 - dido's-lament," <p>When I am laid, am laid in earth, may my wrongs create<br/>No trouble, no trouble in, in thy breast<br/>When I am laid, am laid in earth, may my wrongs create<br/>No trouble, no trouble in, in thy breast</p><p>Remember me, remember me, but ah!<br/>Forget my fate<br/>Remember me, but ah!<br/>Forget my fate</p><p>Remember me, remember me, but ah!<br/>Forget my fate<br/>Remember me, but ah!<br/>Forget my fate</p> ",classico,"when i am laid, am laid in earth, may my wrongs create
no trouble, no trouble in, in thy breast
when i am laid, am laid in earth, may my wrongs create
no trouble, no trouble in, in thy breast
 remember me, remember me, but ah!
forget my fate
remember me, but ah!
forget my fate
 remember me, remember me, but ah!
forget my fate
remember me, but ah!
forget my fate",0.0,0.3194444444444444,0.3200000000000001,4.422632,3.580912442115335,72,2.4,0.13603515625,1
