artist,track_name,lyrics,Genre,letras_limpas,Silabas,Frequencia,Pontuacao Gramatical,diversidade lexical,diversidade tematica,Tamanho,Versos,Polaridade,Complexidade
ghost,0 - 0 - mary-on-a-cross," <p>We were speeding together<br/>Down the dark avenues<br/>But besides all the stardom<br/>All we got was blues<br/>But through all the sorrow<br/>We've been riding high<br/>And the truth of the matter is<br/>I never let you go, let you go</p><p>We were scanning the cities<br/>Rocking to pay their dues<br/>But besides all the glamour<br/>All we got was bruised<br/>But through all the sorrow<br/>We've been riding high<br/>And the truth of the matter is<br/>I never let you go, let you go</p><p>You go down just like Holy Mary<br/>Mary on a, Mary on a cross<br/>Not just another Bloody Mary<br/>Mary on a, Mary on a cross<br/>If you choose to run away with me<br/>I will tickle you internally<br/>And I see nothing wrong with that</p><p>We were searching for reasons<br/>To play by the rules<br/>But we quickly found out<br/>It was just for fools<br/>Now through all the sorrow<br/>We'll be riding high<br/>And the truth of the matter is<br/>I never let you go, let you go</p><p>You go down just like Holy Mary<br/>Mary on a, Mary on a cross<br/>Not just another Bloody Mary<br/>Mary on a, Mary on a</p><p>You go down just like Holy Mary<br/>Mary on a, Mary on a cross<br/>Your beauty never, ever scared me<br/>Mary on a, Mary on a cross<br/>If you choose to run away with me<br/>I will tickle you internally<br/>And I see nothing wrong with that</p><p>(Mary on a, Mary on a cross)<br/>Nothing wrong with that<br/>(Mary on a, Mary on a cross)<br/>Nothing wrong with that<br/>(Mary on a, Mary on a cross)<br/>(Mary on a, Mary on a cross)</p> ",Metal,"we were speeding together
down the dark avenues
but besides all the stardom
all we got was blues
but through all the sorrow
we've been riding high
and the truth of the matter is
i never let you go, let you go
 we were scanning the cities
rocking to pay their dues
but besides all the glamour
all we got was bruised
but through all the sorrow
we've been riding high
and the truth of the matter is
i never let you go, let you go
 you go down just like holy mary
mary on a, mary on a cross
not just another bloody mary
mary on a, mary on a cross
if you choose to run away with me
i will tickle you internally
and i see nothing wrong with that
 we were searching for reasons
to play by the rules
but we quickly found out
it was just for fools
now through all the sorrow
we'll be riding high
and the truth of the matter is
i never let you go, let you go
 you go down just like holy mary
mary on a, mary on a cross
not just another bloody mary
mary on a, mary on a
 you go down just like holy mary
mary on a, mary on a cross
your beauty never, ever scared me
mary on a, mary on a cross
if you choose to run away with me
i will tickle you internally
and i see nothing wrong with that
 (mary on a, mary on a cross)
nothing wrong with that
(mary on a, mary on a cross)
nothing wrong with that
(mary on a, mary on a cross)
(mary on a, mary on a cross)",1.0,0.3028169014084507,1.440000000000001,3.0281760692596436,0.837953877592012,284,1.7142857142857142,-0.1368803418803419,1
scorpions,1 - 1 - wind-of-change, <p>I follow the Moskva down to Gorky Park<br/>Listening to the wind of change<br/>An August summer night<br/>Soldiers passing by<br/>Listening to the wind of change</p><p>The world is closing in<br/>And did you ever think<br/>That we could be so close like brothers?<br/>The future's in the air<br/>I can feel it everywhere<br/>Blowing with the wind of change</p><p>Take me<br/>To the magic of the moment<br/>On a glory night<br/>Where the children of tomorrow dream away (dream away)<br/>In the wind of change</p><p>Hum-mm</p><p>Walking down the street<br/>And distant memories<br/>Are buried in the past forever<br/>I follow the Moskva and down to Gorky Park<br/>Listening to the wind of change</p><p>Take me (take me)<br/>To the magic of the moment<br/>On a glory night (a glory night)<br/>Where the children of tomorrow dream away (dream away)<br/>In the wind of change (wind of change)</p><p>The wind of change blows straight<br/>Into the face of time<br/>Like a storm wind that will ring<br/>The freedom bell for peace of mind<br/>Let your balalaika sing what my guitar wants to say (say)</p><p>Take me (take me)<br/>To the magic of the moment<br/>On a glory night (a glory night)<br/>Where the children of tomorrow dream away (dream away)<br/>In the wind of change (wind of change)</p> ,Metal,"i follow the moskva down to gorky park
listening to the wind of change
an august summer night
soldiers passing by
listening to the wind of change
 the world is closing in
and did you ever think
that we could be so close like brothers?
the future's in the air
i can feel it everywhere
blowing with the wind of change
 take me
to the magic of the moment
on a glory night
where the children of tomorrow dream away (dream away)
in the wind of change
 hum-mm
 walking down the street
and distant memories
are buried in the past forever
i follow the moskva and down to gorky park
listening to the wind of change
 take me (take me)
to the magic of the moment
on a glory night (a glory night)
where the children of tomorrow dream away (dream away)
in the wind of change (wind of change)
 the wind of change blows straight
into the face of time
like a storm wind that will ring
the freedom bell for peace of mind
let your balalaika sing what my guitar wants to say (say)
 take me (take me)
to the magic of the moment
on a glory night (a glory night)
where the children of tomorrow dream away (dream away)
in the wind of change (wind of change)",0.0,0.43636363636363634,0.8200000000000005,3.0218758583068848,1.1028010563832982,220,1.3214285714285714,0.0984848484848485,1
metallica,2 - 2 - nothing-else-matters," <p>So close, no matter how far<br/>Couldn't be much more from the heart<br/>Forever trusting who we are<br/>And nothing else matters</p><p>Never opened myself this way<br/>Life is ours, we live it our way<br/>All these words I don't just say<br/>And nothing else matters</p><p>Trust I seek and I find in you<br/>Every day for us, something new<br/>Open mind for a different view<br/>And nothing else matters</p><p>Never cared for what they do<br/>Never cared for what they know<br/>But I know</p><p>So close, no matter how far<br/>It couldn't be much more from the heart<br/>Forever trusting who we are<br/>And nothing else matters</p><p>Never cared for what they do<br/>Never cared for what they know<br/>But I know</p><p>I never opened myself this way<br/>Life is ours, we live it our way<br/>All these words I don't just say<br/>And nothing else matters</p><p>Trust I seek and I find in you<br/>Every day for us, something new<br/>Open mind for a different view<br/>And nothing else matters</p><p>Never cared for what they say<br/>Never cared for games they play<br/>Never cared for what they do<br/>Never cared for what they know<br/>And I know</p><p>So close, no matter how far<br/>Couldn't be much more from the heart<br/>Forever trusting who we are<br/>No, nothing else matters</p> ",Metal,"so close, no matter how far
couldn't be much more from the heart
forever trusting who we are
and nothing else matters
 never opened myself this way
life is ours, we live it our way
all these words i don't just say
and nothing else matters
 trust i seek and i find in you
every day for us, something new
open mind for a different view
and nothing else matters
 never cared for what they do
never cared for what they know
but i know
 so close, no matter how far
it couldn't be much more from the heart
forever trusting who we are
and nothing else matters
 never cared for what they do
never cared for what they know
but i know
 i never opened myself this way
life is ours, we live it our way
all these words i don't just say
and nothing else matters
 trust i seek and i find in you
every day for us, something new
open mind for a different view
and nothing else matters
 never cared for what they say
never cared for games they play
never cared for what they do
never cared for what they know
and i know
 so close, no matter how far
couldn't be much more from the heart
forever trusting who we are
no, nothing else matters",0.0,0.29411764705882354,1.1700000000000008,4.025460243225098,0.6571420485006139,221,2.0526315789473686,0.1675324675324675,1
system-of-a-down,3 - 3 - chop-suey!," <p>Wake up (wake up)<br/>Grab a brush and put a little makeup<br/>Hide your scars to fade away the shakeup (hide the scars to fade away the shakeup)<br/>Why'd you leave the keys upon the table?<br/>Here you go, creating another fable</p><p>(You wanted to) grab a brush and put a little makeup<br/>(You wanted to) hide the scars to fade away the shakeup<br/>(You wanted to) why'd you leave the keys upon the table?<br/>(You wanted to)</p><p>I don't think you trust<br/>In my self-righteous suicide<br/>I cry<br/>When angels deserve to die</p><p>Wake up (wake up)<br/>Grab a brush and put a little makeup (a little bit)<br/>Hide the scars to fade away the (hide the scars to fade away the shakeup)<br/>Why'd you leave the keys upon the table?<br/>Here you go, creating another fable</p><p>(You wanted to) grab a brush and put a little makeup<br/>(You wanted to) hide the scars to fade away the shakeup<br/>(You wanted to) why'd you leave the keys upon the table?<br/>(You wanted to)</p><p>I don't think you trust<br/>In my self-righteous suicide<br/>I cry<br/>When angels deserve to die</p><p>In my self-righteous suicide<br/>I cry<br/>When angels deserve to die</p><p>Father (Father)<br/>Father (Father)<br/>Father (Father)<br/>Father (Father)</p><p>Father, into Your hands I commend my spirit<br/>Father, into Your hands<br/>Why have You forsaken me?<br/>In Your eyes, forsaken me<br/>In Your thoughts, forsaken me<br/>In Your heart, forsaken me, oh</p><p>Trust in my self-righteous suicide<br/>I cry<br/>When angels deserve to die</p><p>In my self-righteous suicide<br/>I cry<br/>When angels deserve to die</p> ",Metal,"wake up (wake up)
grab a brush and put a little makeup
hide your scars to fade away the shakeup (hide the scars to fade away the shakeup)
why'd you leave the keys upon the table?
here you go, creating another fable
 (you wanted to) grab a brush and put a little makeup
(you wanted to) hide the scars to fade away the shakeup
(you wanted to) why'd you leave the keys upon the table?
(you wanted to)
 i don't think you trust
in my self-righteous suicide
i cry
when angels deserve to die
 wake up (wake up)
grab a brush and put a little makeup (a little bit)
hide the scars to fade away the (hide the scars to fade away the shakeup)
why'd you leave the keys upon the table?
here you go, creating another fable
 (you wanted to) grab a brush and put a little makeup
(you wanted to) hide the scars to fade away the shakeup
(you wanted to) why'd you leave the keys upon the table?
(you wanted to)
 i don't think you trust
in my self-righteous suicide
i cry
when angels deserve to die
 in my self-righteous suicide
i cry
when angels deserve to die
 father (father)
father (father)
father (father)
father (father)
 father, into your hands i commend my spirit
father, into your hands
why have you forsaken me?
in your eyes, forsaken me
in your thoughts, forsaken me
in your heart, forsaken me, oh
 trust in my self-righteous suicide
i cry
when angels deserve to die
 in my self-righteous suicide
i cry
when angels deserve to die",0.0,0.2528301886792453,0.9300000000000006,2.1806440353393555,1.1702854742930686,265,1.9565217391304348,-0.1875,1
slipknot,4 - 4 - snuff," <p>Bury all your secrets in my skin<br/>Come away with innocence<br/>And leave me with my sins<br/>The air around me still feels like a cage<br/>And love is just a camouflage<br/>For what resembles rage again</p><p>So if you love me, let me go<br/>And run away before I know<br/>My heart is just too dark to care<br/>I can't destroy what isn't there<br/>Deliver me into my fate<br/>If I'm alone, I cannot hate<br/>I don't deserve to have you<br/>My smile was taken long ago<br/>If I can change, I hope I never know</p><p>I still press your letters to my lips<br/>And cherish them in parts of me<br/>That savor every kiss<br/>I couldn't face a life without your light<br/>But all of that was ripped apart<br/>When you refused to fight</p><p>So save your breath, I will not hear<br/>I think I made it very clear<br/>You couldn't hate enough to love<br/>Is that supposed to be enough?<br/>I only wish you weren't my friend<br/>Then I could hurt you in the end<br/>I never claimed to be a saint<br/>My own was banished long ago<br/>It took the death of hope to let you go</p><p>So break yourself against my stones<br/>And spit your pity in my soul<br/>You never needed any help<br/>You sold me out to save yourself<br/>And I won't listen to your shame<br/>You ran away, you're all the same<br/>Angels lie to keep control<br/>My love was punished long ago<br/>If you still care, don't ever let me know<br/>If you still care, don't ever let me know</p> ",Metal,"bury all your secrets in my skin
come away with innocence
and leave me with my sins
the air around me still feels like a cage
and love is just a camouflage
for what resembles rage again
 so if you love me, let me go
and run away before i know
my heart is just too dark to care
i can't destroy what isn't there
deliver me into my fate
if i'm alone, i cannot hate
i don't deserve to have you
my smile was taken long ago
if i can change, i hope i never know
 i still press your letters to my lips
and cherish them in parts of me
that savor every kiss
i couldn't face a life without your light
but all of that was ripped apart
when you refused to fight
 so save your breath, i will not hear
i think i made it very clear
you couldn't hate enough to love
is that supposed to be enough?
i only wish you weren't my friend
then i could hurt you in the end
i never claimed to be a saint
my own was banished long ago
it took the death of hope to let you go
 so break yourself against my stones
and spit your pity in my soul
you never needed any help
you sold me out to save yourself
and i won't listen to your shame
you ran away, you're all the same
angels lie to keep control
my love was punished long ago
if you still care, don't ever let me know
if you still care, don't ever let me know",0.0,0.5427509293680297,1.480000000000001,2.485459089279175,0.8016753655104077,269,1.0256410256410255,0.061499999999999985,0
system-of-a-down,5 - 5 - lonely-day, <p>Such a lonely day<br/>And it's mine<br/>The most loneliest day of my life<br/>Such a lonely day<br/>Should be banned<br/>It's a day that I can't stand</p><p>The most loneliest day of my life<br/>The most loneliest day of my life</p><p>Such a lonely day<br/>Shouldn't exist<br/>It's a day that I'll never miss<br/>Such a lonely day<br/>And it's mine<br/>The most loneliest day of my life</p><p>And if you go<br/>I wanna go with you<br/>And if you die<br/>I wanna die with you<br/>Take your hand and walk away</p><p>The most loneliest day of my life<br/>The most loneliest day of my life<br/>The most loneliest day of my life</p><p>Such a lonely day<br/>And it's mine<br/>It's a day that I'm glad I survived</p> ,Metal,"such a lonely day
and it's mine
the most loneliest day of my life
such a lonely day
should be banned
it's a day that i can't stand
 the most loneliest day of my life
the most loneliest day of my life
 such a lonely day
shouldn't exist
it's a day that i'll never miss
such a lonely day
and it's mine
the most loneliest day of my life
 and if you go
i wanna go with you
and if you die
i wanna die with you
take your hand and walk away
 the most loneliest day of my life
the most loneliest day of my life
the most loneliest day of my life
 such a lonely day
and it's mine
it's a day that i'm glad i survived",0.0,0.3023255813953488,0.6600000000000004,3.3806352615356445,0.46252382875297166,129,1.9230769230769231,0.19444444444444445,0
scorpions,6 - 6 - still-loving-you," <p>Time, it needs time<br/>To win back your love again<br/>I will be there<br/>I will be there<br/>Love, only love<br/>Can bring back your love someday<br/>I will be there<br/>I will be there</p><p>Fight, babe, I'll fight<br/>To win back your love again<br/>I will be there<br/>I will be there<br/>Love, only love<br/>Can break down the wall someday<br/>I will be there<br/>I will be there</p><p>If we'd go again all the way from the start<br/>I would try to change the things that killed our love<br/>Pride has built a wall so strong that I can't get through<br/>Is there really no chance to start once again?<br/>I'm loving you</p><p>Try, baby, try<br/>To trust in my love again<br/>I will be there<br/>I will be there<br/>Love, our love<br/>Just shouldn't be thrown away<br/>I will be there<br/>I will be there</p><p>If we'd go again all the way from the start<br/>I would try to change the things that killed our love<br/>Yes, I've hurt your pride and I know what you've been through<br/>You should give me a chance<br/>This can't be the end</p><p>I'm still loving you<br/>I'm still loving you<br/>I'm still loving you<br/>I need your love<br/>I'm still loving you</p> ",Metal,"time, it needs time
to win back your love again
i will be there
i will be there
love, only love
can bring back your love someday
i will be there
i will be there
 fight, babe, i'll fight
to win back your love again
i will be there
i will be there
love, only love
can break down the wall someday
i will be there
i will be there
 if we'd go again all the way from the start
i would try to change the things that killed our love
pride has built a wall so strong that i can't get through
is there really no chance to start once again?
i'm loving you
 try, baby, try
to trust in my love again
i will be there
i will be there
love, our love
just shouldn't be thrown away
i will be there
i will be there
 if we'd go again all the way from the start
i would try to change the things that killed our love
yes, i've hurt your pride and i know what you've been through
you should give me a chance
this can't be the end
 i'm still loving you
i'm still loving you
i'm still loving you
i need your love
i'm still loving you",0.0,0.3915094339622642,1.1400000000000008,3.3944365978240967,0.6132840408226011,212,1.8571428571428572,0.3625925925925925,0
system-of-a-down,7 - 7 - toxicity," <p>Conversion, software version 7.0<br/>Looking at life through the eyes of a tire hub<br/>Eating seeds as a pastime activity<br/>The toxicity of our city, of our city</p><p>You, what do you own the world?<br/>How do you own disorder, disorder?<br/>Now, somewhere between the sacred silence<br/>Sacred silence and sleep<br/>Somewhere<br/>Between the sacred silence and sleep<br/>Disorder, disorder, disorder</p><p>More wood for their fires, loud neighbors<br/>Flashlight reveries caught in the headlights of a truck<br/>Eating seeds as a pastime activity<br/>The toxicity of our city, of our city</p><p>You, what do you own the world?<br/>How do you own disorder, disorder?<br/>Now, somewhere between the sacred silence<br/>Sacred silence and sleep<br/>Somewhere<br/>Between the sacred silence and sleep<br/>Disorder, disorder, disorder</p><p>You, what do you own the world?<br/>How do you own disorder?<br/>Now, somewhere between the sacred silence<br/>Sacred silence and sleep<br/>Somewhere<br/>Between the sacred silence and sleep<br/>Disorder, disorder, disorder</p><p>When I became the Sun<br/>I shone life into the man's hearts<br/>When I became the Sun<br/>I shone life into the man's hearts</p> ",Metal,"conversion, software version 7.0
looking at life through the eyes of a tire hub
eating seeds as a pastime activity
the toxicity of our city, of our city
 you, what do you own the world?
how do you own disorder, disorder?
now, somewhere between the sacred silence
sacred silence and sleep
somewhere
between the sacred silence and sleep
disorder, disorder, disorder
 more wood for their fires, loud neighbors
flashlight reveries caught in the headlights of a truck
eating seeds as a pastime activity
the toxicity of our city, of our city
 you, what do you own the world?
how do you own disorder, disorder?
now, somewhere between the sacred silence
sacred silence and sleep
somewhere
between the sacred silence and sleep
disorder, disorder, disorder
 you, what do you own the world?
how do you own disorder?
now, somewhere between the sacred silence
sacred silence and sleep
somewhere
between the sacred silence and sleep
disorder, disorder, disorder
 when i became the sun
i shone life into the man's hearts
when i became the sun
i shone life into the man's hearts",2.0,0.3388888888888889,0.7100000000000004,2.890000104904175,1.1818474482417405,180,2.0625,0.525,1
system-of-a-down,8 - 8 - aerials," <p>Life is a waterfall<br/>We're one in the river and one again after the fall<br/>Swimming through the void, we hear the word<br/>We lose ourselves, but we find it all</p><p>'Cause we are the ones that wanna play<br/>Always wanna go, but you never wanna stay<br/>And we are the ones that wanna choose<br/>Always wanna play, but you never wanna lose</p><p>Aerials<br/>In the sky<br/>When you lose small mind, you free your life</p><p>Life is a waterfall<br/>We drink from the river, then we turn around and put up our walls<br/>Swimming through the void, we hear the word<br/>We lose ourselves, but we find it all</p><p>'Cause we are the ones that wanna play<br/>Always wanna go, but you never wanna stay<br/>And we are the ones that wanna choose<br/>Always wanna play, but you never wanna lose, oh</p><p>Aerials<br/>In the sky<br/>When you lose small mind, you free your life</p><p>Aerials<br/>So up high<br/>When you free your eyes, eternal prize</p><p>Aerials<br/>In the sky<br/>When you lose small mind, you free your life</p><p>Aerials<br/>So up high<br/>When you free your eyes, eternal prize</p> ",Metal,"life is a waterfall
we're one in the river and one again after the fall
swimming through the void, we hear the word
we lose ourselves, but we find it all
 'cause we are the ones that wanna play
always wanna go, but you never wanna stay
and we are the ones that wanna choose
always wanna play, but you never wanna lose
 aerials
in the sky
when you lose small mind, you free your life
 life is a waterfall
we drink from the river, then we turn around and put up our walls
swimming through the void, we hear the word
we lose ourselves, but we find it all
 'cause we are the ones that wanna play
always wanna go, but you never wanna stay
and we are the ones that wanna choose
always wanna play, but you never wanna lose, oh
 aerials
in the sky
when you lose small mind, you free your life
 aerials
so up high
when you free your eyes, eternal prize
 aerials
in the sky
when you lose small mind, you free your life
 aerials
so up high
when you free your eyes, eternal prize",0.0,0.32460732984293195,0.8400000000000005,3.471320629119873,0.7364902920670662,191,2.066666666666667,0.15700000000000003,1
metallica,9 - 9 - enter-sandman," <p>Say your prayers, little one, don't forget, my son<br/>To include everyone<br/>I tuck you in, warm within, keep you free from sin<br/>'Til the Sandman, he comes, ah</p><p>Sleep with one eye open<br/>Gripping your pillow tight</p><p>Exit light<br/>Enter night<br/>Take my hand<br/>We're off to Never-Neverland</p><p>Something's wrong, shut the light, heavy thoughts tonight<br/>And they aren't of Snow White<br/>Dreams of war, dreams of liars, dreams of dragons' fire<br/>And of things that will bite, yeah</p><p>Sleep with one eye open<br/>Gripping your pillow tight</p><p>Exit light<br/>Enter night<br/>Take my hand<br/>We're off to Never-Neverland<br/>Yeah</p><p>Now, I lay me down to sleep (now, I lay me down to sleep)<br/>Pray the Lord my soul to keep (pray the Lord my soul to keep)<br/>If I die before I wake (if I die before I wake)<br/>Pray the Lord my soul to take (pray the Lord my soul to take)</p><p>Hush, little baby, don't say a word<br/>And never mind that noise you heard<br/>It's just the beasts under your bed<br/>In your closet, in your head</p><p>Exit light<br/>Enter night<br/>Grain of sand</p><p>Exit light<br/>Enter night<br/>Take my hand<br/>We're off to Never-Neverland<br/>Yeah</p><p>Oh<br/>Yeah, yeah<br/>Whoa, oh</p><p>(We're off to Never-Neverland) take my hand<br/>(We're off to Never-Neverland) take my hand</p><p>(We're off to Never-Neverland)<br/>(We're off to Never-Neverland)<br/>(We're off to Never-Neverland)<br/>(We're off to Never-Neverland)</p> ",Metal,"say your prayers, little one, don't forget, my son
to include everyone
i tuck you in, warm within, keep you free from sin
'til the sandman, he comes, ah
 sleep with one eye open
gripping your pillow tight
 exit light
enter night
take my hand
we're off to never-neverland
 something's wrong, shut the light, heavy thoughts tonight
and they aren't of snow white
dreams of war, dreams of liars, dreams of dragons' fire
and of things that will bite, yeah
 sleep with one eye open
gripping your pillow tight
 exit light
enter night
take my hand
we're off to never-neverland
yeah
 now, i lay me down to sleep (now, i lay me down to sleep)
pray the lord my soul to keep (pray the lord my soul to keep)
if i die before i wake (if i die before i wake)
pray the lord my soul to take (pray the lord my soul to take)
 hush, little baby, don't say a word
and never mind that noise you heard
it's just the beasts under your bed
in your closet, in your head
 exit light
enter night
grain of sand
 exit light
enter night
take my hand
we're off to never-neverland
yeah
 oh
yeah, yeah
whoa, oh
 (we're off to never-neverland) take my hand
(we're off to never-neverland) take my hand
 (we're off to never-neverland)
(we're off to never-neverland)
(we're off to never-neverland)
(we're off to never-neverland)",0.0,0.461864406779661,1.1000000000000008,2.384603977203369,1.0637821814761061,236,1.5862068965517242,0.11283730158730158,1
