artist,track_name,lyrics,Genre,letras_limpas,Silabas,Frequencia,Pontuacao Gramatical,diversidade lexical,diversidade tematica,Tamanho,Versos,Polaridade,Complexidade
Tupac-Shakur,0 - 0 - Hit-'Em-Up," <p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I’ll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)</p><p>Yeah, I been gone<br/>Them other bitches, they missed out<br/>I'm slidin' through to your side<br/>I got some weed to get high<br/>And we both tryna get by<br/>Trying to stay by your side, just for the night<br/>You blowing my line<br/>Need you to let down your guard<br/>I know that it’s hard, and there goes the pain<br/>Call on me if it rain<br/>And I should break ya back like ten different ways<br/>No, I don't play, bae, hold you down</p><p>Yeah, I'll hold you down, baby (hold you down)<br/>(Hold you down, hold you down, hold you down)</p><p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I'll hold you, you, you, you</p><p>Yeah, I'll hold you down</p> ",RAP,"yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i’ll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
 yeah, i been gone
them other bitches, they missed out
i'm slidin' through to your side
i got some weed to get high
and we both tryna get by
trying to stay by your side, just for the night
you blowing my line
need you to let down your guard
i know that it’s hard, and there goes the pain
call on me if it rain
and i should break ya back like ten different ways
no, i don't play, bae, hold you down
 yeah, i'll hold you down, baby (hold you down)
(hold you down, hold you down, hold you down)
 yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i'll hold you, you, you, you
 yeah, i'll hold you down",0.0,0.4523809523809524,0.6400000000000003,4.24563,0.5674319120821685,168,1.25,-0.1295299145299145,0
Tupac-Shakur,1 - 1 - All-Eyez-on-Me," <p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I’ll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)</p><p>Yeah, I been gone<br/>Them other bitches, they missed out<br/>I'm slidin' through to your side<br/>I got some weed to get high<br/>And we both tryna get by<br/>Trying to stay by your side, just for the night<br/>You blowing my line<br/>Need you to let down your guard<br/>I know that it’s hard, and there goes the pain<br/>Call on me if it rain<br/>And I should break ya back like ten different ways<br/>No, I don't play, bae, hold you down</p><p>Yeah, I'll hold you down, baby (hold you down)<br/>(Hold you down, hold you down, hold you down)</p><p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I'll hold you, you, you, you</p><p>Yeah, I'll hold you down</p> ",RAP,"yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i’ll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
 yeah, i been gone
them other bitches, they missed out
i'm slidin' through to your side
i got some weed to get high
and we both tryna get by
trying to stay by your side, just for the night
you blowing my line
need you to let down your guard
i know that it’s hard, and there goes the pain
call on me if it rain
and i should break ya back like ten different ways
no, i don't play, bae, hold you down
 yeah, i'll hold you down, baby (hold you down)
(hold you down, hold you down, hold you down)
 yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i'll hold you, you, you, you
 yeah, i'll hold you down",0.0,0.4523809523809524,0.6400000000000003,4.24563,0.5674319120821685,168,1.25,-0.1295299145299145,0
Tupac-Shakur,2 - 2 - Ghetto-Gospel," <p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I’ll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)</p><p>Yeah, I been gone<br/>Them other bitches, they missed out<br/>I'm slidin' through to your side<br/>I got some weed to get high<br/>And we both tryna get by<br/>Trying to stay by your side, just for the night<br/>You blowing my line<br/>Need you to let down your guard<br/>I know that it’s hard, and there goes the pain<br/>Call on me if it rain<br/>And I should break ya back like ten different ways<br/>No, I don't play, bae, hold you down</p><p>Yeah, I'll hold you down, baby (hold you down)<br/>(Hold you down, hold you down, hold you down)</p><p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I'll hold you, you, you, you</p><p>Yeah, I'll hold you down</p> ",RAP,"yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i’ll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
 yeah, i been gone
them other bitches, they missed out
i'm slidin' through to your side
i got some weed to get high
and we both tryna get by
trying to stay by your side, just for the night
you blowing my line
need you to let down your guard
i know that it’s hard, and there goes the pain
call on me if it rain
and i should break ya back like ten different ways
no, i don't play, bae, hold you down
 yeah, i'll hold you down, baby (hold you down)
(hold you down, hold you down, hold you down)
 yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i'll hold you, you, you, you
 yeah, i'll hold you down",0.0,0.4523809523809524,0.6400000000000003,4.24563,0.5674319120821685,168,1.25,-0.1295299145299145,0
Tupac-Shakur,3 - 3 - Until-the-End-of-Time," <p>Hate when I pull off, I've been ducked off<br/>I seen them calls I missed, you think I'm in the mix<br/>Sorry in advance, I've been focused on my bands (on my bands)</p><p>That’s why my wrist froze like my heart is<br/>And now I don't know where my mind went<br/>I wrote a message, I ain't press send<br/>This shit make my mind race<br/>I'll save for time sake, it feel like I can't win<br/>Damn, where all the time went?<br/>I don't break but I make you bend, over<br/>On all fours, for sure</p><p>Say no more (say no more)<br/>Said you needed more, more, more<br/>I got that 'za and that fire, uh<br/>'Cause, damn I been solo with it (I been gone)<br/>This new life hit different (want you here by my side)<br/>But will we sink or will we swim again? (I been gone)<br/>Can't feel the l if we both wanna win<br/>Blow smoke out the wind (I been gone)<br/>And it mix and it blend (want you here by my side)<br/>Will we sink or will we swim? (I been gone)<br/>Just let me know, you know I got you, I got you</p><p>Losing patience for what we've done<br/>This is what you want, we've been in a rut<br/>Too much damage done<br/>I dip out outside, sometimes I need to free the mind<br/>Tell me would you slide? Tell me what you want<br/>Don't tell me that you done (done, done)<br/>I'm outside out front, hit my phone, wanna have fun?<br/>I been gone, I'm tapped in, locked in<br/>Hit my phone, I can't pick it up (pick it up)</p><p>Say no more (say no more)<br/>Said you needed more, more, more<br/>I got that 'za and that fire, uh<br/>'Cause, damn I been solo with it (I been gone)<br/>This new life hit different (want you here by my side)<br/>But will we sink or will we swim again? (I been gone)<br/>Can't feel the l if we both wanna win<br/>Blow smoke out the wind (I been gone)<br/>And it mix and it blend (want you here by my side)<br/>Will we sink or will we swim? (I been gone)<br/>Just let me know, you know I got you, I got you</p> ",RAP,"hate when i pull off, i've been ducked off
i seen them calls i missed, you think i'm in the mix
sorry in advance, i've been focused on my bands (on my bands)
 that’s why my wrist froze like my heart is
and now i don't know where my mind went
i wrote a message, i ain't press send
this shit make my mind race
i'll save for time sake, it feel like i can't win
damn, where all the time went?
i don't break but i make you bend, over
on all fours, for sure
 say no more (say no more)
said you needed more, more, more
i got that 'za and that fire, uh
'cause, damn i been solo with it (i been gone)
this new life hit different (want you here by my side)
but will we sink or will we swim again? (i been gone)
can't feel the l if we both wanna win
blow smoke out the wind (i been gone)
and it mix and it blend (want you here by my side)
will we sink or will we swim? (i been gone)
just let me know, you know i got you, i got you
 losing patience for what we've done
this is what you want, we've been in a rut
too much damage done
i dip out outside, sometimes i need to free the mind
tell me would you slide? tell me what you want
don't tell me that you done (done, done)
i'm outside out front, hit my phone, wanna have fun?
i been gone, i'm tapped in, locked in
hit my phone, i can't pick it up (pick it up)
 say no more (say no more)
said you needed more, more, more
i got that 'za and that fire, uh
'cause, damn i been solo with it (i been gone)
this new life hit different (want you here by my side)
but will we sink or will we swim again? (i been gone)
can't feel the l if we both wanna win
blow smoke out the wind (i been gone)
and it mix and it blend (want you here by my side)
will we sink or will we swim? (i been gone)
just let me know, you know i got you, i got you",0.0,0.39790575916230364,2.2199999999999966,2.2013009,1.7502360644866382,382,1.3548387096774193,0.17587412587412585,1
Tupac-Shakur,4 - 4 - Tradin'-War-Stories," <p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I’ll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)</p><p>Yeah, I been gone<br/>Them other bitches, they missed out<br/>I'm slidin' through to your side<br/>I got some weed to get high<br/>And we both tryna get by<br/>Trying to stay by your side, just for the night<br/>You blowing my line<br/>Need you to let down your guard<br/>I know that it’s hard, and there goes the pain<br/>Call on me if it rain<br/>And I should break ya back like ten different ways<br/>No, I don't play, bae, hold you down</p><p>Yeah, I'll hold you down, baby (hold you down)<br/>(Hold you down, hold you down, hold you down)</p><p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I'll hold you, you, you, you</p><p>Yeah, I'll hold you down</p> ",RAP,"yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i’ll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
 yeah, i been gone
them other bitches, they missed out
i'm slidin' through to your side
i got some weed to get high
and we both tryna get by
trying to stay by your side, just for the night
you blowing my line
need you to let down your guard
i know that it’s hard, and there goes the pain
call on me if it rain
and i should break ya back like ten different ways
no, i don't play, bae, hold you down
 yeah, i'll hold you down, baby (hold you down)
(hold you down, hold you down, hold you down)
 yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i'll hold you, you, you, you
 yeah, i'll hold you down",0.0,0.4523809523809524,0.6400000000000003,4.24563,0.5674319120821685,168,1.25,-0.1295299145299145,0
Tupac-Shakur,5 - 5 - The-Heart-of-the-Matter," <p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I’ll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)</p><p>Yeah, I been gone<br/>Them other bitches, they missed out<br/>I'm slidin' through to your side<br/>I got some weed to get high<br/>And we both tryna get by<br/>Trying to stay by your side, just for the night<br/>You blowing my line<br/>Need you to let down your guard<br/>I know that it’s hard, and there goes the pain<br/>Call on me if it rain<br/>And I should break ya back like ten different ways<br/>No, I don't play, bae, hold you down</p><p>Yeah, I'll hold you down, baby (hold you down)<br/>(Hold you down, hold you down, hold you down)</p><p>Yeah, I'll hold you down (yeah, yeah, yeah)<br/>Hold you down<br/>Hold you down, baby (hold you down)<br/>Yeah, I'll hold you, you, you, you</p><p>Yeah, I'll hold you down</p> ",RAP,"yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i’ll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
 yeah, i been gone
them other bitches, they missed out
i'm slidin' through to your side
i got some weed to get high
and we both tryna get by
trying to stay by your side, just for the night
you blowing my line
need you to let down your guard
i know that it’s hard, and there goes the pain
call on me if it rain
and i should break ya back like ten different ways
no, i don't play, bae, hold you down
 yeah, i'll hold you down, baby (hold you down)
(hold you down, hold you down, hold you down)
 yeah, i'll hold you down (yeah, yeah, yeah)
hold you down
hold you down, baby (hold you down)
yeah, i'll hold you, you, you, you
 yeah, i'll hold you down",0.0,0.4523809523809524,0.6400000000000003,4.24563,0.5674319120821685,168,1.25,-0.1295299145299145,0
Tupac-Shakur,6 - 6 - What-'Cha-Want," <p>Must be cedric</p><p>Tell your secrets, you safe<br/>Damn, did I come too late?<br/>You know atlanta traffic like a bitch<br/>Starting route<br/>I be quick, just hit a switch in my stick<br/>And yeah, you know<br/>I be tired after these shifts<br/>Say the time, and I'm there<br/>That's why I be out with my dogs, no</p><p>But when I come back (when I come back)<br/>Don't turn your back<br/>Why you do me like that?<br/>'Cause I know you want me<br/>I know you want me<br/>When I come back<br/>Don't turn your back (don't turn your back)<br/>Why you do me like that?<br/>'Cause I know you want me<br/>I know you want me</p><p>I don't waste my time<br/>Especially since I run through thеse red lights on the daily<br/>Yеah, you're my baby<br/>Your shit already drive me crazy<br/>And no, I'm never home nowadays<br/>'Cause you're stuck on them games that you played<br/>I'm not the same, I'm not the same<br/>Tryna give you everything<br/>Your ex a lame (oh, oh, oh)</p><p>But when I come back (when I come back)<br/>Don't turn your back<br/>Why you do me like that?<br/>'Cause I know you want me<br/>I know you want me<br/>When I come back</p><p>Do me like, do me<br/>Do me like (when I come back, baby)<br/>Do me like, do me like<br/>Do me<br/>'Cause I know you want me<br/>Do me like, do me<br/>Do me like</p><p>Baby girl, alright<br/>I got a find me a girl<br/>Oh, oh, baby girl, alright</p> ",RAP,"must be cedric
 tell your secrets, you safe
damn, did i come too late?
you know atlanta traffic like a bitch
starting route
i be quick, just hit a switch in my stick
and yeah, you know
i be tired after these shifts
say the time, and i'm there
that's why i be out with my dogs, no
 but when i come back (when i come back)
don't turn your back
why you do me like that?
'cause i know you want me
i know you want me
when i come back
don't turn your back (don't turn your back)
why you do me like that?
'cause i know you want me
i know you want me
 i don't waste my time
especially since i run through thеse red lights on the daily
yеah, you're my baby
your shit already drive me crazy
and no, i'm never home nowadays
'cause you're stuck on them games that you played
i'm not the same, i'm not the same
tryna give you everything
your ex a lame (oh, oh, oh)
 but when i come back (when i come back)
don't turn your back
why you do me like that?
'cause i know you want me
i know you want me
when i come back
 do me like, do me
do me like (when i come back, baby)
do me like, do me like
do me
'cause i know you want me
do me like, do me
do me like
 baby girl, alright
i got a find me a girl
oh, oh, baby girl, alright",1.0,0.40229885057471265,1.400000000000001,3.3975232,0.9632492127664001,261,1.3235294117647058,-0.05466666666666667,1
The-Notorious-B.I.G.,7 - 7 - Big-Poppa," <p>Eu não preciso de desejo ou caridade<br/>Vai pensando em mim e aumentando o meu ibope<br/>Cama minha filha já que ser autoridade<br/>Tá estressada vai toma o seu xarope</p><p>Estou com Deus por ele é sou blindada<br/>Que ouvi latido chama ai seus camaradas<br/>Me ame menos, pare de se intrometer<br/>Fica só me olhando é eu que quero aparecer</p><p>Se for mulher vem aqui não fale age<br/>O recalcada quero ver sua coragem<br/>Se o seu sensor de piriguete explodiu<br/>Deve ser porque ele mesmo te seguiu</p><p>Beijei meu ombro pra ver se seu recalque some<br/>Beijei meu ombro pra não dar nem atenção<br/>Beijei meu obro se liga que eu sou do bonde<br/>Beijei meu ombro pra não ter mais confusão</p> ",RAP,"eu não preciso de desejo ou caridade
vai pensando em mim e aumentando o meu ibope
cama minha filha já que ser autoridade
tá estressada vai toma o seu xarope
 estou com deus por ele é sou blindada
que ouvi latido chama ai seus camaradas
me ame menos, pare de se intrometer
fica só me olhando é eu que quero aparecer
 se for mulher vem aqui não fale age
o recalcada quero ver sua coragem
se o seu sensor de piriguete explodiu
deve ser porque ele mesmo te seguiu
 beijei meu ombro pra ver se seu recalque some
beijei meu ombro pra não dar nem atenção
beijei meu obro se liga que eu sou do bonde
beijei meu ombro pra não ter mais confusão",1.0,0.6935483870967742,0.28000000000000014,3.6455295,1.0930610687613285,124,1.0,0.0,0
Jay-Z,8 - 8 - Brooklyn's-Finest," <p>[Jay-Z]<br/>Yeah, yeah, yeah, Ay Yo peep the style and the way the cops<br/>sweat us<br/>The number one question is can the Feds get us<br/>I got vendettas in dice games against ass betters <br/>And niggas who pump wheels and drive Jettas, take that with ya</p><p>[Notorious B.I.G.]<br/>Hit ya, back split ya, fuck fist fights and layin scuffles<br/>Pillow case to your face, make the shell muffle<br/>Shoot your daughter in the calf muscle<br/>Fuck a tussle, nickel-plated <br/>Sprinkle coke on the floor, make it drug related, most hate it</p><p>[Jay-Z]<br/>Can't fade it, while ya'll pump willy, I run up and stunt silly<br/>Scared, so you sent your little mans to come kill me<br/>But on the contrilli, I packs the mack-milli <br/>Squeezed off on him, let the paramedics breath all soft on him<br/>What's ya name?</p><p>[Notorious B.I.G.]<br/>Who shot ya? Mob ties like Sinatra<br/>Peruvians tried to do me in, I ain't paid them yet<br/>Tryin to put 700's, they ain't made them yet<br/>Rolex and bracelets is frostbit<br/>Rings too, niggas round the way call me Igloo, Stick who? </p><p>Chorus: Jay-Z</p><p>What, what, what, Jay-Z, Big Smalls, nigga shit ya drawers<br/>Brooklyn represent ya'll hit, ya fall<br/>Ya crazy, think a little-bit of rhymes can play me<br/>I'm from Marcy, I'm varsity, chump, your JV</p><p>(Jigga) Jay-Z</p><p>[Notorious B.I.G.]<br/>Nigga baby, My Bed-Stuy flow's malicious<br/>Delicious, Fuck three wishes, made my road to riches<br/>From 62 gem stars, my moms dishes<br/>Gram choppin, police van dockin, D's at me doors knockin</p><p>[Jay-Z]<br/>Keep rockin, No more Mista Nice Guy<br/>I twist ya shit the fuck back with the pistols <br/>Blazin, hot like cajun, hotter than leaving holding work at the<br/>Days Inn<br/>With New York plates outside, get up outta there, fuck the ride</p><p>[Notorious B.I.G.]<br/>Keep ya hands high, shit gets steeper<br/>Here comes the Grim Reaper<br/>Frank Wright need the keys to your Integra<br/>(That's right)<br/>Chill homie, the bitch in the Shownies told me<br/>Your holding more drugs than a pharmacy<br/>You ain't harmin me, so pardon me <br/>Pass the safe before I blaze the place and hit six shots just in<br/>case</p><p>Chorus</p><p>[Jay-Z]<br/>Yeah, yeah, yeah, for nine six, the only MC with a flu<br/>Yeah I rhyme sick, I be what your tryin to do<br/>Made a fortune off Peru, extradite, china white heron<br/>Nigga please, like short sleeves I bear arms<br/>Stay out the way from heron<br/>(Clear) gone</p><p>[Notoriuos B.I.G.]<br/>Nea Gutter had two spots<br/>The two for five dollar hits, the blue tops<br/>Gotta go, Coolio mean it's gettin Too Hot<br/>If Faith had twins, she'd probably have two Pac's<br/>Get it, Tupac's</p><p>[Jay-Z]<br/>Time to separate the pros from the cons<br/>The platinum from the bronz<br/>And butter soft shit from the leather on the Fonz<br/>The S1 diamond from my eye class don<br/>A Chan Don sipper from a Rosay nigga, huh<br/>Brook Na, sippin on </p><p>[Notorious B.I.G.]<br/>Cristal forever, play the crib when it's mink weather<br/>The M.A.F.I.A. keep canons in they Marc Buchanans<br/>Usually cuatro cinco, the shell sink slow, tossin ya<br/>Mad slugs through your Nautica, I'm warnin ya</p> ",RAP,"[jay-z]
yeah, yeah, yeah, ay yo peep the style and the way the cops
sweat us
the number one question is can the feds get us
i got vendettas in dice games against ass betters 
and niggas who pump wheels and drive jettas, take that with ya
 [notorious b.i.g.]
hit ya, back split ya, fuck fist fights and layin scuffles
pillow case to your face, make the shell muffle
shoot your daughter in the calf muscle
fuck a tussle, nickel-plated 
sprinkle coke on the floor, make it drug related, most hate it
 [jay-z]
can't fade it, while ya'll pump willy, i run up and stunt silly
scared, so you sent your little mans to come kill me
but on the contrilli, i packs the mack-milli 
squeezed off on him, let the paramedics breath all soft on him
what's ya name?
 [notorious b.i.g.]
who shot ya? mob ties like sinatra
peruvians tried to do me in, i ain't paid them yet
tryin to put 700's, they ain't made them yet
rolex and bracelets is frostbit
rings too, niggas round the way call me igloo, stick who? 
 chorus: jay-z
 what, what, what, jay-z, big smalls, nigga shit ya drawers
brooklyn represent ya'll hit, ya fall
ya crazy, think a little-bit of rhymes can play me
i'm from marcy, i'm varsity, chump, your jv
 (jigga) jay-z
 [notorious b.i.g.]
nigga baby, my bed-stuy flow's malicious
delicious, fuck three wishes, made my road to riches
from 62 gem stars, my moms dishes
gram choppin, police van dockin, d's at me doors knockin
 [jay-z]
keep rockin, no more mista nice guy
i twist ya shit the fuck back with the pistols 
blazin, hot like cajun, hotter than leaving holding work at the
days inn
with new york plates outside, get up outta there, fuck the ride
 [notorious b.i.g.]
keep ya hands high, shit gets steeper
here comes the grim reaper
frank wright need the keys to your integra
(that's right)
chill homie, the bitch in the shownies told me
your holding more drugs than a pharmacy
you ain't harmin me, so pardon me 
pass the safe before i blaze the place and hit six shots just in
case
 chorus
 [jay-z]
yeah, yeah, yeah, for nine six, the only mc with a flu
yeah i rhyme sick, i be what your tryin to do
made a fortune off peru, extradite, china white heron
nigga please, like short sleeves i bear arms
stay out the way from heron
(clear) gone
 [notoriuos b.i.g.]
nea gutter had two spots
the two for five dollar hits, the blue tops
gotta go, coolio mean it's gettin too hot
if faith had twins, she'd probably have two pac's
get it, tupac's
 [jay-z]
time to separate the pros from the cons
the platinum from the bronz
and butter soft shit from the leather on the fonz
the s1 diamond from my eye class don
a chan don sipper from a rosay nigga, huh
brook na, sippin on 
 [notorious b.i.g.]
cristal forever, play the crib when it's mink weather
the m.a.f.i.a. keep canons in they marc buchanans
usually cuatro cinco, the shell sink slow, tossin ya
mad slugs through your nautica, i'm warnin ya",2.0,0.6446124763705104,2.55999999999999,1.8920957,2.2751790897692215,529,1.1159420289855073,-0.09435366958622773,1
The-Notorious-B.I.G.,9 - 9 - Come-Back-to-Play," <p>Eu não preciso de desejo ou caridade<br/>Vai pensando em mim e aumentando o meu ibope<br/>Cama minha filha já que ser autoridade<br/>Tá estressada vai toma o seu xarope</p><p>Estou com Deus por ele é sou blindada<br/>Que ouvi latido chama ai seus camaradas<br/>Me ame menos, pare de se intrometer<br/>Fica só me olhando é eu que quero aparecer</p><p>Se for mulher vem aqui não fale age<br/>O recalcada quero ver sua coragem<br/>Se o seu sensor de piriguete explodiu<br/>Deve ser porque ele mesmo te seguiu</p><p>Beijei meu ombro pra ver se seu recalque some<br/>Beijei meu ombro pra não dar nem atenção<br/>Beijei meu obro se liga que eu sou do bonde<br/>Beijei meu ombro pra não ter mais confusão</p> ",RAP,"eu não preciso de desejo ou caridade
vai pensando em mim e aumentando o meu ibope
cama minha filha já que ser autoridade
tá estressada vai toma o seu xarope
 estou com deus por ele é sou blindada
que ouvi latido chama ai seus camaradas
me ame menos, pare de se intrometer
fica só me olhando é eu que quero aparecer
 se for mulher vem aqui não fale age
o recalcada quero ver sua coragem
se o seu sensor de piriguete explodiu
deve ser porque ele mesmo te seguiu
 beijei meu ombro pra ver se seu recalque some
beijei meu ombro pra não dar nem atenção
beijei meu obro se liga que eu sou do bonde
beijei meu ombro pra não ter mais confusão",1.0,0.6935483870967742,0.28000000000000014,3.6455295,1.0930610687613285,124,1.0,0.0,0
